"","EMAnimalFeed","AD.ADnetEmissions","AD.EMDigester","AD.EMStorage","AD.EMLandApp","AD.EMCstorage","AD.EMdisplacedFertilizer","ADf.ADnetEmissions","ADf.EMDigester","ADf.EMStorage","ADf.EMLandApp","ADf.EMCstorage","ADf.EMdisplacedFertilizer","CM.final","CM.Application","CM.EMCompost","CM.EMCompostoperation","CM.EMBio","CM.EMCstorage","CM.EM_displaced_Peat","CM.EM_displacedFertilizer","CM.EMdisplacedFertilizerLA","CMLA.final","CMLA.Application","CMLA.EMCompost","CMLA.EMCompostoperation","CMLA.EMBio","CMLA.EMCstorage","CMLA.EM_displaced_Peat","CMLA.EM_displacedFertilizer","CMLA.EMdisplacedFertilizerLA","CMf.final","CMf.Application","CMf.EMCompost","CMf.EMCompostoperation","CMf.EMBio","CMf.EMCstorage","CMf.EM_displaced_Peat","CMf.EM_displacedFertilizer","CMf.EMdisplacedFertilizerLA","CMp.final","CMp.Application","CMp.EMCompost","CMp.EMCompostoperation","CMp.EMBio","CMp.EMCstorage","CMp.EM_displaced_Peat","CMp.EM_displacedFertilizer","CMp.EMdisplacedFertilizerLA","CMb.final","CMb.Application","CMb.EMCompost","CMb.EMCompostoperation","CMb.EMBio","CMb.EMCstorage","CMb.EM_displaced_Peat","CMb.EM_displacedFertilizer","CMb.EMdisplacedFertilizerLA","LF.LandfillNetEmissions","LF.EM_displaced_grid","LF.EMLFoperation","LF.EMLandfillCH4","LF.EMCstorage","f1.type","f1.TS","f1.VS","f1.Lo","f1.Bo","f1.TKN","f1.TVS","f1.percentCarboTS","f1.percentProteinTS","f1.percentLipidTS","f1.fdeg","f1.InitialC","f1.Nperton","f1.TDN","f1.Phosphorus","f1.Potassium","f1.rdeg","g1.N2ON_to_N2O","g1.density_CH4","g1.density_CO2","g1.CtoCH4","g1.CtoCO2","g1.Energy_content_methane_BTUperm3CH4","g1.GWPN2O","g1.GWPCH4","g1.EFGrid","g1.DieselprovisionkgCO2eperL","g1.DieselcombustionkgCO2eperL","g1.IPCC_EF4","g1.DieselspreadLpertkm","g1.Dieselgrindpert","g1.MF_N2O","g1.MF_NH3","g1.MF_ROL","g1.Compost_dieseLlpert","g1.Compost_electpert","g1.CompostPercentCdegraded","g1.Compost_degradedC_CH4","g1.Compost_N2OperN","g1.Compost_NH3ofloss","g1.Compost_CS_factor","g1.Compost_mass_reduction","g1.Compost_xportToField","g1.Compost_spread_diesellpert","g1.Compost_N_loss","g1.Compost_N_Availability","g1.Compost_FracGasC","g1.EF_Peat_kgCO2eperton","g1.Compost_EF1","g1.Compost_LRO","g1.Peat_substitution","g1.Compost_Peat_Displacement","g1.AD_Cf","g1.AD_flared","g1.AD_Digester_CH4Leaks","g1.AD_Digester_CH4IC","g1.AD_Digester_CE","g1.AD_Digester_parasiticLoad","g1.AD_reductionInVS","g1.AD_Storage_residualCH4","g1.AD_Storage_EF3","g1.AD_Storage_FracGasMS","g1.AD_xportTofield","g1.AD_LA_FracGasD","g1.AD_LandApplication_OtherNFactor","g1.AD_LA_FracLeachD","g1.AD_N_Availability","g1.AD_CSfactor","g1.CH4content","g1.LFDieseluseLpert","g1.Landfill_OX_Max","g1.Heating_value","g1.Landfill_CF","g1.k","g1.LCEMax","g1.BMP_Correctionfactor","g1.LandApplication_FracGasM","g1.LandApplication_EF1","g1.Displaced_N_Production_Factor","g1.LA_Displaced_N_Direct_Indirect","g1.Displaced_P_Production_Factor","g1.Displaced_K_Production_Factor","g1.LA_CSfactor","g1.LA_xportToField","g1.N_displacement","g1.K_Nratio","g1.P_Nratio","g1.K_Availability","g1.P_Availability","g1.LA_DisplacedFertilizer_Direct_Indirect","g1.EFCornDisplacement","g1.CornTS","g1.CornTDN","g1.AF_loss","g1.AD_Digester_OneMinusparasiticLoad","g1.AD_OneMinusreductionInVS"
"MSWFW",-161.305475206612,-14.3521587407212,-146.539919341418,151.251588571429,-0.0118328699107143,-27.4524951008213,-17.992494597195,-32.3446533379162,-146.539919341418,151.251588571429,-0.0118328699107143,-27.4524951008213,-17.992494597195,98.9529906357143,"noDisplace",98.9529906357143,9.52591945,89.4270711857143,-22.410234,-388,-15.56721,-9.42003945,67.1227171857143,"LAFertilizer",98.9529906357143,9.52591945,89.4270711857143,-22.410234,-388,-15.56721,-9.42003945,83.3857806357143,"Fertilizer",98.9529906357143,9.52591945,89.4270711857143,-22.410234,-388,-15.56721,-9.42003945,17.4729906357143,"Peat",98.9529906357143,9.52591945,89.4270711857143,-22.410234,-388,-15.56721,-9.42003945,14.6708928357143,"Blended",98.9529906357143,9.52591945,89.4270711857143,-22.410234,-388,-15.56721,-9.42003945,623.246782655189,56.8141756986297,18.4811,633.32382695656,-85.37232,"MSWFW",0.3,0.9,90.209999997,334.1111111,8900,0.27,0.67,0.15,0.14,0.84,145.521,8.9,0.7815,1900,3300,0.16,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Whey",-36.244710756702,-5.72634063065156,-40.4000859784731,29.0513807628571,-0.000164931741071428,-2.7779704832945,-1.2823260099075,-7.00866664055906,-40.4000859784731,29.0513807628571,-0.000164931741071428,-2.7779704832945,-1.2823260099075,23.0902693936957,"noDisplace",23.0902693936957,9.52591945,13.5643499436957,-4.13771820080619,-388,-0.943785,-0.656247825,18.2963033678895,"LAFertilizer",23.0902693936957,9.52591945,13.5643499436957,-4.13771820080619,-388,-0.943785,-0.656247825,22.1464843936957,"Fertilizer",23.0902693936957,9.52591945,13.5643499436957,-4.13771820080619,-388,-0.943785,-0.656247825,-58.3897306063043,"Peat",23.0902693936957,9.52591945,13.5643499436957,-4.13771820080619,-388,-0.943785,-0.656247825,-58.5596119063043,"Blended",23.0902693936957,9.52591945,13.5643499436957,-4.13771820080619,-388,-0.943785,-0.656247825,206.777238079498,15.6632922505778,18.4811,174.603187829304,-1.9703420003839,"Whey",0.065,0.911,24.8703,420,650,0.059215,0.763076923,0.129230769,0.007692308,0.98,26.868300005235,0.65,0.81046153875,80,150,0.02,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Tomato Pomace",-152.982952066116,9.43698778320039,-110.827258935574,146.051048594286,-0.000757238711428571,-34.1865446368,-2.08668032052,7.35030746268039,-110.827258935574,146.051048594286,-0.000757238711428571,-34.1865446368,-2.08668032052,76.7895317279429,"noDisplace",76.7895317279429,9.52591945,67.2636122779429,-22.791487488,-388,-1.39355232,-1.0712192544,52.9268249855429,"LAFertilizer",76.7895317279429,9.52591945,67.2636122779429,-22.791487488,-388,-1.39355232,-1.0712192544,75.3959794079429,"Fertilizer",76.7895317279429,9.52591945,67.2636122779429,-22.791487488,-388,-1.39355232,-1.0712192544,-4.69046827205715,"Peat",76.7895317279429,9.52591945,67.2636122779429,-22.791487488,-388,-1.39355232,-1.0712192544,-4.94130768965715,"Blended",76.7895317279429,9.52591945,67.2636122779429,-22.791487488,-388,-1.39355232,-1.0712192544,263.674540645854,42.968219101398,18.4811,478.978998184456,-276.75377664,"Tomato Pomace",0.32,0.978,68.22528,218,1068.8,0.31296,0.7096,0.1927,0.0585,0.49,147.996672,1.0688,0.694855,117,109,0.51,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Apple Pomace",-118.398838016529,21.4490612675424,-85.6666423081004,126.963296971429,-0.00886284928571428,-28.2392305465,-13.35736441134,8.09169685620241,-85.6666423081004,126.963296971429,-0.00886284928571428,-28.2392305465,-13.35736441134,81.3299714413143,"noDisplace",81.3299714413143,9.52591945,71.8040519913143,-18.359126016,-388,-10.66764,-6.8076234,56.1632220253143,"LAFertilizer",81.3299714413143,9.52591945,71.8040519913143,-18.359126016,-388,-10.66764,-6.8076234,70.6623314413143,"Fertilizer",81.3299714413143,9.52591945,71.8040519913143,-18.359126016,-388,-10.66764,-6.8076234,-0.150028558685719,"Peat",81.3299714413143,9.52591945,71.8040519913143,-18.359126016,-388,-10.66764,-6.8076234,-2.07020375868572,"Blended",81.3299714413143,9.52591945,71.8040519913143,-18.359126016,-388,-10.66764,-6.8076234,207.743172817828,33.2133366080574,18.4811,370.238539729771,-214.18980352,"Apple Pomace",0.257,0.9,52.7364,228,6800,0.2313,0.904,0.048,0.048,0.51,119.215104,6.8,0.6696,730,2597,0.49,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Brewers spent grains",-110.342026859504,-31.4326431683417,-144.21292195727,116.264523142857,-0.0105600039285714,-11.87418435,-15.25672695,-46.6893701183417,-144.21292195727,116.264523142857,-0.0105600039285714,-11.87418435,-15.25672695,77.0472458774286,"noDisplace",77.0472458774286,9.52591945,67.5213264274286,-15.57006066,-388,-10.6032,-7.9401576,53.5370276174286,"LAFertilizer",77.0472458774286,9.52591945,67.5213264274286,-15.57006066,-388,-10.6032,-7.9401576,66.4440458774286,"Fertilizer",77.0472458774286,9.52591945,67.5213264274286,-15.57006066,-388,-10.6032,-7.9401576,-4.43275412257142,"Peat",77.0472458774286,9.52591945,67.5213264274286,-15.57006066,-388,-10.6032,-7.9401576,-6.34133012257142,"Blended",77.0472458774286,9.52591945,67.5213264274286,-15.57006066,-388,-10.6032,-7.9401576,668.002719027764,55.9119885074031,18.4811,623.266888920361,-29.6572584,"Brewers spent grains",0.21,0.95,88.7775,445,8000,0.1995,0.62,0.23,0.109,0.92,101.10429,8,0.7637,1300,200,0.08,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Baked goods",-465.734900826446,-255.658837767316,-677.823869614375,455.190157437714,-0.0199735550142857,-41.4056520356411,-28.3045157724,-283.963353539716,-677.823869614375,455.190157437714,-0.0199735550142857,-41.4056520356411,-28.3045157724,241.577204432857,"noDisplace",241.577204432857,9.52591945,232.051284982857,-67.0547724,-388,-18.2904384,-14.470813728,160.051618304857,"LAFertilizer",241.577204432857,9.52591945,232.051284982857,-67.0547724,-388,-18.2904384,-14.470813728,223.286766032857,"Fertilizer",241.577204432857,9.52591945,232.051284982857,-67.0547724,-388,-18.2904384,-14.470813728,160.097204432857,"Peat",241.577204432857,9.52591945,232.051284982857,-67.0547724,-388,-18.2904384,-14.470813728,156.804925520857,"Blended",241.577204432857,9.52591945,232.051284982857,-67.0547724,-388,-18.2904384,-14.470813728,3114.93825416085,262.795316075432,18.4811,2929.45437008541,-95.7925320000001,"Baked goods",0.916,0.979,417.26849278125,465.3046875,14656,0.896764,0.76,0.1,0.11,0.94,435.4206,14.656,0.739,1200,1400,0.0600000000000001,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Canned goods",-59.9245196280992,-12.1750761473834,-67.4461123539817,51.39002898,-0.00280966439285714,-4.51668310900886,-5.003796223026,-17.1788723704094,-67.4461123539817,51.39002898,-0.00280966439285714,-4.51668310900886,-5.003796223026,36.26619781,"noDisplace",36.26619781,9.52591945,26.74027836,-6.8500971,-388,-4.533228,-2.57653926,26.83956145,"LAFertilizer",36.26619781,9.52591945,26.74027836,-6.8500971,-388,-4.533228,-2.57653926,31.73296981,"Fertilizer",36.26619781,9.52591945,26.74027836,-6.8500971,-388,-4.533228,-2.57653926,-45.21380219,"Peat",36.26619781,9.52591945,26.74027836,-6.8500971,-388,-4.533228,-2.57653926,-46.02978323,"Blended",36.26619781,9.52591945,26.74027836,-6.8500971,-388,-4.533228,-2.57653926,332.860413414689,26.1491564529993,18.4811,291.492107961689,-3.261951,"Canned goods",0.105,0.907,41.5198385709135,435.9724741,2520,0.095235,0.74,0.15,0.02,0.98,44.48115,2.52,0.8295,370,1380,0.02,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Coffee grounds and filter paper",-139.19709607438,-26.68091471741,-172.629121871854,157.856984217714,-0.0105170093442857,-20.298760053926,-16.6345293300905,-43.3154440475004,-172.629121871854,157.856984217714,-0.0105170093442857,-20.298760053926,-16.6345293300905,93.0470418168571,"noDisplace",93.0470418168571,9.52591945,83.5211223668571,-21.29171814,-388,-14.22334512,-8.9582328648,62.7970908120571,"LAFertilizer",93.0470418168571,9.52591945,83.5211223668571,-21.29171814,-388,-14.22334512,-8.9582328648,78.8236966968571,"Fertilizer",93.0470418168571,9.52591945,83.5211223668571,-21.29171814,-388,-14.22334512,-8.9582328648,11.5670418168571,"Peat",93.0470418168571,9.52591945,83.5211223668571,-21.29171814,-388,-14.22334512,-8.9582328648,9.00683969525713,"Blended",93.0470418168571,9.52591945,83.5211223668571,-21.29171814,-388,-14.22334512,-8.9582328648,730.098537207301,66.9290750589052,18.4811,746.077496148396,-101.389134,"Coffee grounds and filter paper",0.293,0.993,106.270517641404,365.254796,7969.6,0.290949,0.79,0.17,0.04,0.8,138.25791,7.9696,0.6905,2669.816,1434.528,0.2,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Fresh produce",-43.6002954545455,-6.97265627767217,-48.7865400890399,36.649116988,-0.000988051742857142,-3.23474512488936,-2.5268203757016,-9.49947665337377,-48.7865400890399,36.649116988,-0.000988051742857142,-3.23474512488936,-2.5268203757016,27.092669354,"noDisplace",27.092669354,9.52591945,17.566749904,-4.94692044,-388,-4.0593648,-1.340161416,20.805587498,"LAFertilizer",27.092669354,9.52591945,17.566749904,-4.94692044,-388,-4.0593648,-1.340161416,23.033304554,"Fertilizer",27.092669354,9.52591945,17.566749904,-4.94692044,-388,-4.0593648,-1.340161416,-54.387330646,"Peat",27.092669354,9.52591945,17.566749904,-4.94692044,-388,-4.0593648,-1.340161416,-55.11801631,"Blended",27.092669354,9.52591945,17.566749904,-4.94692044,-388,-4.0593648,-1.340161416,245.888381603697,18.9147576496826,18.4811,210.848200354015,-2.3556764,"Fresh produce",0.077,0.933,30.0330026184342,418.0482262,1232,0.071841,0.82,0.1,0,0.98,32.12286,1.232,0.823,330,2315,0.02,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
"Post consumer",-130.250129132231,-85.3556555848219,-355.32660315408,248.748802590857,-0.0182266171685714,12.8398715955699,-26.232711313487,-111.588366898309,-355.32660315408,248.748802590857,-0.0182266171685714,12.8398715955699,-26.232711313487,107.301276168629,"noDisplace",107.301276168629,9.52591945,97.7753567186286,-20.609041992,-388,-18.77224512,-13.3058342304,73.3863999462286,"LAFertilizer",107.301276168629,9.52591945,97.7753567186286,-20.609041992,-388,-18.77224512,-13.3058342304,88.5290310486286,"Fertilizer",107.301276168629,9.52591945,97.7753567186286,-20.609041992,-388,-18.77224512,-13.3058342304,25.8212761686286,"Peat",107.301276168629,9.52591945,97.7753567186286,-20.609041992,-388,-18.77224512,-13.3058342304,22.4422720470286,"Blended",107.301276168629,9.52591945,97.7753567186286,-20.609041992,-388,-18.77224512,-13.3058342304,1633.02877094574,137.761697650173,18.4811,1535.66895041557,-58.88297712,"Post consumer",0.466,0.971,218.739119098204,483.4163247,13420.8,0.452486,0.59,0.017,0.021,0.88,133.824948,13.4208,0.40625,1200,3200,0.12,1.57142857142857,0.67,1.799,1.33333333333333,3.66666666666667,35315,265,28,692.15,0.45,2.72,0.01,0.3,2.65,0.018,0,0.29485,3,0.023,0.58,0.02,0.005,0.5,0.1,0.6,20,0.4,0.43,0.2,0.016,970,0.034,0.077,1,0.21,0.9,0.05,0.025,0.005,4.19,0.12,0.55,0.054,0.005,0.26,20,0.075,0.02,0.476,0.65,0.1,0.6,5.83,0.35,11700,0.85,0.144,0.95,1,0.2,0.0125,8.85,-5.4,1.8,0.96,0.7,20,1,0.57,0.3,1,1,-5.4,-592,0.88,0.88,0.1,0.88,0.45
