"","Baked goods","Dry goods","Sweet Cereals","Refrigerated and frozen dairy","MSWFW","Tomato Pomace","Coffee grounds and filter paper","Post consumer","Apple Pomace","Brewers spent grains","Prep waste","Canned goods","Fresh produce","Whey","Salad "
"Animal Feed",-465.734900826446,-400.508181818182,-396.387306818182,-195.589338842975,-161.305475206612,-152.982952066116,-139.19709607438,-130.250129132231,-118.398838016529,-110.342026859504,-66.2632159090909,-59.9245196280992,-43.6002954545455,-36.244710756702,-16.2488863636364
"AD no displacement",-255.658837767316,-60.1709210367041,-113.798468688698,-68.5604412195628,-14.3521587407212,9.43698778320039,-26.68091471741,-85.3556555848219,21.4490612675424,-31.4326431683417,2.47093626748533,-12.1750761473834,-6.97265627767217,-5.72634063065156,5.28108123493971
"AD Fertilizer displacement",-283.963353539716,-94.8315043210241,-144.612614030529,-82.3494175121408,-32.3446533379162,7.35030746268039,-43.3154440475004,-111.588366898309,8.09169685620241,-46.6893701183417,1.07101155651045,-17.1788723704094,-9.49947665337377,-7.00866664055906,2.45324460070179
"Compost no displacement",241.577204432857,241.764763738,233.734187526571,92.10720769,98.9529906357143,76.7895317279429,93.0470418168571,107.301276168629,81.3299714413143,77.0472458774286,39.7955982362857,36.26619781,27.092669354,23.0902693936957,20.6879988442857
"Compost Fertilizer displacement",223.286766032857,219.002470618,214.818582246571,81.70400545,83.3857806357143,75.3959794079429,78.8236966968571,88.5290310486286,70.6623314413143,66.4440458774286,36.4233255962857,31.73296981,23.033304554,22.1464843936957,16.5291530842857
"Compost Peat displacement",160.097204432857,160.284763738,152.254187526571,10.62720769,17.4729906357143,-4.69046827205715,11.5670418168571,25.8212761686286,-0.150028558685719,-4.43275412257142,-41.6844017637143,-45.21380219,-54.387330646,-58.3897306063043,-60.7920011557143
"Compost Blended displacement",156.804925520857,156.1875509764,148.849378576171,8.75463128680001,14.6708928357143,-4.94130768965715,9.00683969525713,22.4422720470286,-2.07020375868572,-6.34133012257142,-42.2914108389143,-46.02978323,-55.11801631,-58.5596119063043,-61.5405933925143
"Landfill",3114.93825416085,1824.37670272473,2188.22760913462,1064.40994043046,623.246782655189,263.674540645854,730.098537207301,1633.02877094574,207.743172817828,668.002719027764,186.776626120597,332.860413414689,245.888381603697,206.777238079498,111.410867695402
"TS",0.916,0.924,0.927,0.309,0.3,0.32,0.293,0.466,0.257,0.21,0.143,0.105,0.077,0.065,0.038
"VS",0.979,0.978,0.95,0.979,0.9,0.978,0.993,0.971,0.9,0.95,1,0.907,0.933,0.911,0.906
"Bo",465.3046875,318.4046841,361.8179135,454.2087355,334.1111111,218,365.254796,483.4163247,228,445,252.2881684,435.9724741,418.0482262,420,375.3706502
"TKN",14656,17740.8,16315.2,6921.6,8900,1068.8,7969.6,13420.8,6800,8000,457.6,2520,1232,650,1398.4
"percentCarboTS",0.76,0.85,0.82,0.79,0.67,0.7096,0.79,0.59,0.904,0.62,0.82,0.74,0.82,0.763076923,0.65
"percentLipidTS",0.11,0.01,0.02,0.05,0.14,0.0585,0.04,0.021,0.048,0.109,0.03,0.02,0,0.007692308,0.02
"percentProteinTS",0.1,0.12,0.11,0.14,0.15,0.1927,0.17,0.017,0.048,0.23,0.15,0.15,0.1,0.129230769,0.23
"Lo",417.26849278125,287.733397690015,318.634945523775,137.40313878484,90.209999997,68.22528,106.270517641404,218.739119098204,52.7364,88.7775,36.0772080812,41.5198385709135,30.0330026184342,24.8703,12.9232607450856
"TVS",0.896764,0.903672,0.88065,0.302511,0.27,0.31296,0.290949,0.452486,0.2313,0.1995,0.143,0.095235,0.071841,0.059215,0.034428
"fdeg",0.94,0.74,0.82,0.99,0.84,0.49,0.8,0.88,0.51,0.92,0.56,0.98,0.98,0.98,0.9
"TDN",0.739,0.63,0.6215,0.92,0.7815,0.694855,0.6905,0.40625,0.6696,0.7637,0.6735,0.8295,0.823,0.81046153875,0.6215
