"","Landfill","AD","Compost","Animal.Feed"
"Food waste",439.799735313987,-16.124468804576,42.7454945344,-183.471074380165
"Baked goods",2241.22306837992,-213.536972379311,206.25363917003,-623.220661157025
"Canned goods",246.088094730091,-2.38629224872389,36.06204960048,-56.1880165289256
"Coffee",507.554271106606,-29.2092915098369,37.4710826167086,-44.797520661157
"Fresh produce",183.092597000172,-0.576976302210134,24.375932261568,-41.2045454545455
"Post consumer",1128.47754921524,-109.785536984704,107.953408710818,-284.99173553719
"Prep waste",127.062757398523,-17.1904599129438,-31.6844490824365,-71.0568181818182
"Sweet dry goods",1523.09210551671,-125.408887632219,81.9727823988457,-566.925619834711
"Salad mix",84.2651908959994,8.96479327387211,15.8980167978377,-14.8152892561983
"Unsweetened dry goods",1220.90827398213,-109.000847096381,4.27841114135539,-522.709090909091
"Yogurt and frozen deserts",776.851767917,-40.1063346560479,101.265847031271,-219.68367768595
